timestamp_ms,timestamp_μs,freeAcceleration_m/s²_x,freeAcceleration_m/s²_y,freeAcceleration_m/s²_z
1746704814859,209719360,0.047203477,-0.1670053,0.28347874
1746704814876,209736027,0.038527377,-0.12890372,0.25636578
1746704814892,209752694,0.04011566,-0.0656148,0.1859703
1746704814909,209769361,0.015788285,0.011174083,0.26708603
1746704814926,209786028,0.013383062,0.116791554,0.38602543
1746704814942,209802695,-0.022023402,0.16965282,0.484169
1746704814959,209819362,-0.02287521,0.18624999,0.5849867
1746704814976,209836029,-0.08884461,0.15431178,0.49556446
1746704814992,209852696,-0.087190166,0.08749594,0.39389324
1746704815009,209869363,0.0201108,0.06266834,0.39526176
1746704815026,209886030,-0.03290893,0.00602278,0.4289875
1746704815042,209902697,-0.07795707,-0.07021257,0.36581612
1746704815059,209919364,-0.061207905,0.02854171,0.4261322
1746704815076,209936031,0.0019454567,0.09073933,0.3416443
1746704815092,209952698,-0.0073231785,0.013215874,0.4757824
1746704815109,209969365,-0.038755804,0.10830678,0.4524355
1746704815126,209986032,-0.024063852,0.12822938,0.65013885
1746704815142,210002699,-0.06345533,0.20154074,0.895627
1746704815159,210019366,-0.013683463,0.44864437,0.76961136
1746704815176,210036033,-0.060950417,0.4969377,1.002039
1746704815192,210052700,-0.031592216,0.7364658,1.1094294
1746704815209,210069367,-0.15816894,0.78752756,1.2763071
1746704815226,210086034,-0.068336405,0.5731512,1.4446411
1746704815242,210102701,0.07856279,-0.20352307,1.8661461
1746704815259,210119368,-0.80184984,-1.4497222,1.4975071
1746704815276,210136035,-0.38819686,2.9155214,0.2996359
1746704815292,210152702,0.24000306,-0.09756363,5.135639
1746704815309,210169369,-0.014586902,0.47866237,4.0178947
1746704815326,210186036,0.049512815,0.3476507,3.261407
1746704815342,210202703,-0.13677384,0.30669755,3.9176388
1746704815359,210219370,-0.081793,0.9905795,3.7935753
1746704815376,210236037,0.0067038243,0.8000805,3.2128172
1746704815392,210252704,0.4605822,0.8081574,3.2164698
1746704815409,210269371,0.71331793,0.81020117,2.9175653
1746704815426,210286038,0.18967287,0.72832656,2.357788
1746704815442,210302705,-0.30711374,0.59653217,2.3224192
1746704815459,210319372,-0.35519898,0.57187486,2.9968748
1746704815476,210336039,-0.20095246,0.49481142,4.064499
1746704815492,210352706,-0.064669006,0.50223565,3.4708204
1746704815509,210369373,-0.047550593,0.52248746,1.6923304
1746704815526,210386040,0.021100517,0.4482329,1.3313828
1746704815542,210402707,0.09514298,0.7183883,1.5308447
1746704815559,210419374,-0.16790628,0.9049248,1.7190571
1746704815576,210436041,-0.20911336,0.92062664,1.4345636
1746704815592,210452708,-0.09305135,1.1576484,0.86829853
1746704815609,210469375,-0.12957828,1.2417736,0.057346344
1746704815626,210486042,-0.09655938,1.3836565,-0.48225594
1746704815642,210502709,-0.22330453,1.3946638,-1.567359
1746704815659,210519376,0.027212478,1.5730183,-2.9546824
1746704815676,210536043,0.048175424,1.2316798,-3.4400735
1746704815692,210552710,-0.27674246,0.46147257,-3.8131819
1746704815709,210569377,-0.6372798,0.67076844,-4.553909
1746704815726,210586044,-0.6119987,0.43150082,-5.13857
1746704815742,210602711,-0.56305766,0.98846024,-5.1595545
1746704815759,210619378,-0.0392567,0.74532706,-4.0720205
1746704815776,210636045,0.03773994,-0.1922483,-3.538824
1746704815792,210652712,-0.22428632,-0.9118315,-3.2670932
1746704815809,210669379,-0.4471619,-1.1419123,-3.063592
1746704815826,210686046,0.0045902855,-1.2170632,-3.054514
1746704815842,210702713,0.3691265,-1.3741847,-2.8509827
1746704815859,210719380,0.56502044,-1.6053061,-2.9717069
1746704815876,210736047,0.7128465,-1.7444476,-3.0732646
1746704815892,210752714,0.7642871,-1.8486695,-3.0514722
1746704815909,210769381,0.83071476,-2.2995353,-2.2682037
1746704815926,210786048,0.6170853,-2.1959264,-1.6272259
1746704815942,210802715,0.6744244,-1.8797932,-0.38280106
1746704815959,210819382,0.36123762,-1.6403362,-0.59624195
1746704815976,210836049,0.45537278,-1.3122222,-0.33599663
1746704815992,210852716,0.36634535,-1.6075972,0.40155888
1746704816009,210869383,0.41973117,-1.7799269,0.32311726
1746704816026,210886050,0.097260766,-1.6980196,0.38530064
1746704816042,210902717,-0.18487382,-1.8024715,0.552495
1746704816059,210919384,-0.19325243,-1.5779668,0.5621948
1746704816076,210936051,-0.2946967,-1.2015257,0.16739559
1746704816092,210952718,-0.19611406,-1.6312914,0.47211552
1746704816109,210969385,-0.13012344,-1.3501571,-0.29074478
1746704816126,210986052,0.14485182,-1.3083289,-0.31306648
1746704816142,211002719,0.2084502,-1.2177091,-0.32200336
1746704816159,211019386,0.22860883,-1.097278,-0.57946205
1746704816176,211036053,0.06839452,-1.2810344,-0.6313524
1746704816192,211052720,0.027676715,-1.3417808,-0.6009426
1746704816209,211069387,0.0134067545,-1.1563231,-0.37386322
1746704816226,211086054,0.07398681,-1.1776078,0.051506996
1746704816242,211102721,0.20449647,-0.9775301,0.002366066
1746704816259,211119388,0.119827084,-0.85146165,-0.076275826
1746704816276,211136055,0.1424086,-0.93377054,-0.34609127
1746704816292,211152722,0.051635962,-1.0873332,-0.5317764
1746704816309,211169389,0.14233595,-0.74469244,-0.63315964
1746704816326,211186056,0.087455034,-0.4824925,-0.7828579
1746704816342,211202723,-0.114800945,-0.8412918,-0.30268097
1746704816359,211219390,-0.11095563,-1.503471,-0.15561295
1746704816376,211236057,-0.024784457,-2.0877964,-0.16341782
1746704816392,211252724,0.12845424,-3.1393826,-0.6453209
1746704816409,211269391,0.69174486,-2.187841,-1.426467
1746704816426,211286058,0.40665746,-0.35145,-1.6357145
1746704816442,211302725,0.4771684,-0.7095993,-0.61608124
1746704816459,211319392,-0.578874,-1.7985262,-0.15555954
1746704816476,211336059,-0.95113146,-1.9184535,-1.0425224
1746704816492,211352726,-0.763362,-1.1315786,-2.2135878
1746704816509,211369393,-0.084215656,0.025086423,-3.0334945
1746704816526,211386060,0.0013703579,0.38617352,-3.7024488
1746704816542,211402727,-0.03187831,-0.12873977,-3.6431794
1746704816559,211419394,0.6108457,0.10570621,-3.6693645
1746704816576,211436061,0.16267642,0.18193698,-3.9487562
1746704816592,211452728,0.24594493,0.34872213,-2.3558216
1746704816609,211469395,0.6060648,0.7199397,-1.6471415
1746704816626,211486062,0.2410538,0.21686389,-1.6635056
1746704816642,211502729,0.29903015,0.23398745,-1.3692627
1746704816659,211519396,0.51827705,0.50908583,-1.441144
1746704816676,211536063,0.45201048,0.93809617,-1.5123577
1746704816692,211552730,0.3890974,0.5973873,-0.8717489
1746704816709,211569397,-0.10574175,0.45145193,-0.66367245
1746704816726,211586064,-0.25754592,0.72177494,-0.5025034
1746704816742,211602731,0.016579296,0.62200975,0.26782417
1746704816759,211619398,0.11798042,0.21722017,0.4921198
1746704816776,211636065,-0.25695586,0.5797137,0.27370358
1746704816792,211652732,-0.6160643,0.40478733,0.39396286
1746704816809,211669399,-0.37867945,0.5424391,0.6093035
1746704816826,211686066,0.16966288,0.6475452,0.7922039
1746704816842,211702733,-0.007894031,0.63073856,0.4660778
1746704816859,211719400,-0.38075274,0.62072206,0.34971905
1746704816876,211736067,-0.47730073,0.6664864,0.7607498
1746704816892,211752734,-0.19975218,0.6237918,1.3959751
1746704816909,211769401,-0.049220234,0.70657474,2.0994787
1746704816926,211786068,0.2314005,0.4467673,1.1440935
1746704816942,211802735,0.41616482,0.5522019,1.4439602
1746704816959,211819402,0.4191581,0.04497304,1.6911573
1746704816976,211836069,0.034398645,0.015122216,1.6456499
1746704816992,211852736,0.3302346,0.08073355,2.702899
1746704817009,211869403,0.069279626,0.46227688,2.0304232
1746704817026,211886070,0.18658437,0.62776226,1.2913084
1746704817042,211902737,-0.02040472,0.61997914,1.6352386
1746704817059,211919404,-0.011506894,1.0247253,1.7547741
1746704817076,211936071,0.2027439,0.8006574,2.421937
1746704817092,211952738,0.29019827,0.491834,2.7855968
1746704817109,211969405,0.4877616,0.16242507,2.8910065
1746704817126,211986072,0.53451,0.21722643,2.669364
1746704817142,212002739,0.44996846,0.33757943,2.0831451
1746704817159,212019406,0.45115733,0.58503914,1.5587788
1746704817176,212036073,0.38921025,0.522289,1.1287689
1746704817192,212052740,0.24180861,0.5529887,0.8501425
1746704817209,212069407,0.14277762,0.5047441,0.7997122
1746704817226,212086074,0.14066163,0.49511853,0.7365904
1746704817242,212102741,0.16078316,0.5408987,0.7572317
1746704817259,212119408,0.12173656,0.5558336,0.7712412
1746704817276,212136075,0.16755694,0.5534981,0.9030962
1746704817292,212152742,0.17085129,0.5826697,0.9371586
1746704817309,212169409,0.15465711,0.37939557,0.8622494
1746704817326,212186076,0.17377953,0.23377645,0.7024212
1746704817342,212202743,0.17819123,0.09571339,0.6686058
1746704817359,212219410,0.24477932,0.052203014,0.6622572
1746704817376,212236077,0.14251588,0.0780543,0.67072296
1746704817392,212252744,0.13399668,0.058363926,0.61210537
1746704817409,212269411,0.14931738,0.20823674,0.5869293
1746704817426,212286078,0.10958862,0.23614502,0.49030304
1746704817442,212302745,0.11503251,0.18737985,0.4729576
1746704817459,212319412,0.121394806,0.14069068,0.4230013
1746704817476,212336079,0.17895363,0.091618635,0.31990337
1746704817492,212352746,0.16527107,0.16542841,0.34237576
1746704817509,212369413,0.14921702,0.14056708,0.383276
1746704817526,212386080,0.16648452,0.15077268,0.43248653
1746704817542,212402747,0.16047247,0.120291546,0.42965508
1746704817559,212419414,0.18741204,0.13180223,0.40898418
1746704817576,212436081,0.103734374,0.09953702,0.41627026
1746704817592,212452748,0.07423871,0.09665728,0.48052025
1746704817609,212469415,0.063817866,-0.009724826,0.54723835
1746704817626,212486082,0.015480954,-0.10319392,0.7035103
1746704817642,212502749,0.04186085,0.24330637,0.58779716
1746704817659,212519416,0.08527868,0.2862622,0.64656353
1746704817676,212536083,0.08056457,0.425125,0.80542755
1746704817692,212552750,0.07583705,0.52235025,1.0123558
1746704817709,212569417,0.24753277,0.5139495,1.3774338
1746704817726,212586084,0.26056314,0.59420514,1.5619593
1746704817742,212602751,0.072016545,0.82025343,1.5731125
1746704817759,212619418,0.15419823,0.6816459,2.3390636
1746704817776,212636085,0.13517974,0.8727146,2.8019953
1746704817792,212652752,0.10893574,0.9596692,3.2027702
1746704817809,212669419,-0.040216908,0.9926123,3.380579
1746704817826,212686086,-0.20408767,0.9319728,3.2065039
1746704817842,212702753,-0.08167163,0.72120726,3.1062336
1746704817859,212719420,0.21717033,0.7895957,2.8685007
1746704817876,212736087,0.23436026,0.6354234,2.5269585
1746704817892,212752754,0.24714297,0.4729675,2.2940168
1746704817909,212769421,0.04744733,0.37630126,2.0660267
1746704817926,212786088,-0.26883444,0.2593915,2.052559
1746704817942,212802755,-0.44473827,0.24345389,2.048069
1746704817959,212819422,-0.54451513,0.19365029,2.5026636
1746704817976,212836089,-0.22155811,0.3632651,3.106512
1746704817992,212852756,-0.09095658,0.650941,1.9169054
1746704818009,212869423,0.062819436,0.5959104,1.1695366
1746704818026,212886090,0.050550807,0.7457255,0.8643055
1746704818042,212902757,0.03406695,1.0983927,0.75076675
1746704818059,212919424,0.17105894,1.1719288,0.5488205
1746704818076,212936091,0.10772944,1.1525222,-0.021306992
1746704818092,212952758,0.03314518,1.2193292,-0.5321293
1746704818109,212969425,0.051457822,1.2128363,-0.9375391
1746704818126,212986092,0.21444224,1.126307,-1.2240953
1746704818142,213002759,-0.009724714,1.0014408,-1.6652622
1746704818159,213019426,-0.10281172,0.9385454,-1.5819902
1746704818176,213036093,0.025032893,0.8499564,-1.2940044
1746704818192,213052760,0.38650486,0.9393655,-1.1983757
1746704818209,213069427,0.51994467,0.8272467,-0.9929085
1746704818226,213086094,0.85745513,0.7965233,-1.1788616
1746704818242,213102761,0.80852336,0.8695399,-1.4892988
1746704818259,213119428,0.3797083,0.78548723,-1.706193
1746704818276,213136095,-0.18000102,0.09491679,-2.0925603
1746704818292,213152762,-0.4785152,0.17200261,-2.4353585
1746704818309,213169429,-0.4200223,0.39985886,-2.3448582
1746704818326,213186096,-0.004750656,0.24323618,-2.1241722
1746704818342,213202763,0.14455387,0.018922383,-2.6951618
1746704818359,213219430,0.50220513,-0.19098032,-3.117846
1746704818376,213236097,0.24440114,-0.50709087,-3.6660295
1746704818392,213252764,0.29147923,-0.8045601,-3.8801575
1746704818409,213269431,0.36855075,-1.030553,-3.620254
1746704818426,213286098,0.31949902,-1.1346054,-3.7437658
1746704818442,213302765,0.4681736,-1.1110147,-3.3023834
1746704818459,213319432,0.781467,-1.2241415,-2.189436
1746704818476,213336099,0.6187655,-1.4723529,-0.99444485
1746704818492,213352766,0.5405663,-1.3319122,-0.31432533
1746704818509,213369433,0.412136,-1.0146091,-0.17926407
1746704818526,213386100,0.10367872,-1.1861564,-0.45587444
1746704818542,213402767,0.33542722,-1.0646152,0.091300964
1746704818559,213419434,0.2903136,-1.0664977,0.35306835
1746704818576,213436101,0.20440818,-1.2439843,0.5703192
1746704818592,213452768,0.38936874,-1.1817194,0.533494
1746704818609,213469435,0.5177696,-0.84384364,0.30554104
