timestamp_ms,timestamp_μs,freeAcceleration_m/s²_x,freeAcceleration_m/s²_y,freeAcceleration_m/s²_z
1746706817862,2212697776,0.02396953,0.0015016438,-0.35186958
1746706817879,2212714443,0.027216278,0.0007366987,-0.3319397
1746706817895,2212731110,-0.017124668,-0.0019624997,-0.34579372
1746706817912,2212747777,-0.00880641,5.7023743E-05,-0.34985733
1746706817929,2212764444,-0.005631856,0.011757061,-0.35081387
1746706817945,2212781111,0.036373157,0.023595704,-0.3806429
1746706817962,2212797778,-0.014645016,0.023251494,-0.37897873
1746706817979,2212814445,0.013050027,0.008034984,-0.36439514
1746706817995,2212831112,0.027327811,-0.00021795307,-0.3492918
1746706818012,2212847779,0.032691453,-0.015269735,-0.33637333
1746706818029,2212864446,0.034700163,-0.012797067,-0.31112003
1746706818045,2212881113,0.01649302,0.004513816,-0.34711933
1746706818062,2212897780,0.021200651,-0.0036329795,-0.34881973
1746706818079,2212914447,0.023435334,-0.014951871,-0.34986496
1746706818095,2212931114,0.036838513,-0.019893017,-0.3545208
1746706818112,2212947781,0.04229111,-0.014578772,-0.38023567
1746706818129,2212964448,0.021828275,-0.013775551,-0.36408424
1746706818145,2212981115,0.009698451,-0.007255566,-0.3580284
1746706818162,2212997782,0.009254554,-0.009442277,-0.3411827
1746706818179,2213014449,0.013321595,0.008327086,-0.35160732
1746706818195,2213031116,0.016974468,0.004289074,-0.34847736
1746706818212,2213047783,0.014576398,0.0057245023,-0.35394955
1746706818229,2213064450,0.010219012,0.0037520002,-0.32871532
1746706818245,2213081117,0.014261467,-0.012151059,-0.35124207
1746706818262,2213097784,0.031487387,-0.012265553,-0.3556919
1746706818279,2213114451,0.030897984,-0.029956743,-0.3537655
1746706818295,2213131118,0.04498444,-0.023413569,-0.34462547
1746706818312,2213147785,0.04396321,-0.013731826,-0.35273743
1746706818329,2213164452,0.015860032,-0.02036664,-0.3470335
1746706818345,2213181119,0.049012143,0.006785462,-0.35165215
1746706818362,2213197786,0.0094398465,-0.0055266093,-0.3667183
1746706818379,2213214453,0.037101362,-0.0022180588,-0.35569286
1746706818395,2213231120,0.028449176,-0.034225535,-0.36259174
1746706818412,2213247787,0.052434128,-0.030400388,-0.38676357
1746706818429,2213264454,0.0658753,-0.013411085,-0.3411131
1746706818445,2213281121,0.035250675,-0.035697423,-0.31329536
1746706818462,2213297788,-0.03137429,-0.05407214,-0.2544527
1746706818479,2213314455,-0.04819677,-0.033638366,-0.33546734
1746706818495,2213331122,0.0030408937,-0.018446356,-0.31001568
1746706818512,2213347789,0.13224569,0.0037966748,-0.3799305
1746706818529,2213364456,0.042174883,-0.0075993566,-0.33386326
1746706818545,2213381123,0.074282296,-0.0140746385,-0.31335545
1746706818562,2213397790,0.019759439,-0.015740816,-0.4107275
1746706818579,2213414457,0.030426372,-0.0022379234,-0.4199791
1746706818595,2213431124,0.061389398,0.02326918,-0.40348148
1746706818612,2213447791,0.06125149,0.0060142586,-0.38310814
1746706818629,2213464458,0.06552975,-0.020716438,-0.35505486
1746706818645,2213481125,0.05517149,-0.03856062,-0.35285378
1746706818662,2213497792,0.085625134,-0.03852218,-0.34737968
1746706818679,2213514459,0.057680648,-0.04647893,-0.37118626
1746706818695,2213531126,0.074400984,-0.03723463,-0.3942852
1746706818712,2213547793,-0.08025233,-0.024453295,-0.32361412
1746706818729,2213564460,0.16542596,0.002741163,-0.32416153
1746706818745,2213581127,0.07288087,0.008987316,-0.41640854
1746706818762,2213597794,-0.08576192,-0.0073451665,-0.36337757
1746706818779,2213614461,0.17653477,-0.008737261,-0.2569952
1746706818795,2213631128,-0.22117077,-0.014436171,-0.2611847
1746706818812,2213647795,-1.2595904,0.18064943,-0.44774818
1746706818829,2213664462,-0.94495153,0.34472004,-0.581933
1746706818845,2213681129,-0.39089498,0.3034953,-0.54080105
1746706818862,2213697796,-0.9303979,0.091431074,-0.5428896
1746706818879,2213714463,-1.9997045,0.42231634,-0.03629589
1746706818895,2213731130,-3.9969766,1.1416401,-0.18902206
1746706818912,2213747797,-4.74858,2.1724238,2.1863632
1746706818929,2213764464,-2.572695,1.7764817,5.8139515
1746706818945,2213781131,-0.45876706,3.180223,11.3897915
1746706818962,2213797798,-3.5997605,3.9230103,12.234272
1746706818979,2213814465,-7.411175,1.7131834,7.2359257
1746706818995,2213831132,1.3868974,-5.9175324,11.328487
