timestamp_ms,timestamp_μs,freeAcceleration_m/s²_x,freeAcceleration_m/s²_y,freeAcceleration_m/s²_z
1751444084977,1057102649,0.022496244,0.019493753,-0.044231415
1751444084977,1057102649,0.022496244,0.019493753,-0.044231415
1751444084994,1057119316,0.032147367,0.026316121,-0.06417179
1751444084994,1057119316,0.032147367,0.026316121,-0.06417179
1751444085010,1057135983,-0.01800626,0.015071297,-0.09687233
1751444085010,1057135983,-0.01800626,0.015071297,-0.09687233
1751444085027,1057152650,0.04194215,-0.027992329,-0.07386589
1751444085027,1057152650,0.04194215,-0.027992329,-0.07386589
1751444085044,1057169317,0.032171786,-0.01279838,-0.09596062
1751444085044,1057169317,0.032171786,-0.01279838,-0.09596062
1751444085060,1057185984,-0.00024837878,-0.010136215,-0.09670448
1751444085060,1057185984,-0.00024837878,-0.010136215,-0.09670448
1751444085077,1057202651,-0.048642397,0.018411139,-0.074296
1751444085077,1057202651,-0.048642397,0.018411139,-0.074296
1751444085094,1057219318,0.012679443,0.058659326,-0.016050339
1751444085094,1057219318,0.012679443,0.058659326,-0.016050339
1751444085110,1057235985,0.0066388934,0.04166903,-0.062217712
1751444085110,1057235985,0.0066388934,0.04166903,-0.062217712
1751444085127,1057252652,-0.0033155913,0.04311002,-0.0364151
1751444085127,1057252652,-0.0033155913,0.04311002,-0.0364151
1751444085144,1057269319,-0.008530707,0.03670091,-0.056512833
1751444085144,1057269319,-0.008530707,0.03670091,-0.056512833
1751444085160,1057285986,-0.0107904235,0.03653107,-0.13776779
1751444085160,1057285986,-0.0107904235,0.03653107,-0.13776779
1751444085177,1057302653,-0.028569091,0.04221207,-0.14580822
1751444085177,1057302653,-0.028569091,0.04221207,-0.14580822
1751444085194,1057319320,-0.05494932,0.021634309,-0.1415062
1751444085194,1057319320,-0.05494932,0.021634309,-0.1415062
1751444085210,1057335987,-0.05655107,0.037487466,-0.08551216
1751444085210,1057335987,-0.05655107,0.037487466,-0.08551216
1751444085227,1057352654,-0.06478976,-0.019517655,-0.069931984
1751444085227,1057352654,-0.06478976,-0.019517655,-0.069931984
1751444085244,1057369321,-0.10927671,-0.05256104,-0.033988953
1751444085244,1057369321,-0.10927671,-0.05256104,-0.033988953
1751444085260,1057385988,-0.19489576,-0.07363989,-0.04221344
1751444085260,1057385988,-0.19489576,-0.07363989,-0.04221344
1751444085277,1057402655,-0.058396615,-0.16359672,-0.0889492
1751444085277,1057402655,-0.058396615,-0.16359672,-0.0889492
1751444085294,1057419322,0.055532407,-0.08910987,-0.07913017
1751444085294,1057419322,0.055532407,-0.08910987,-0.07913017
1751444085310,1057435989,0.11182985,-0.12851982,0.14248371
1751444085310,1057435989,0.11182985,-0.12851982,0.14248371
1751444085327,1057452656,0.032659713,-0.17084876,0.2908001
1751444085327,1057452656,0.032659713,-0.17084876,0.2908001
1751444085344,1057469323,0.197151,-0.06260294,0.43590355
1751444085344,1057469323,0.197151,-0.06260294,0.43590355
1751444085360,1057485990,0.20037316,0.12137607,0.40542984
1751444085360,1057485990,0.20037316,0.12137607,0.40542984
