timestamp_ms,timestamp_μs,freeAcceleration_m/s²_x,freeAcceleration_m/s²_y,freeAcceleration_m/s²_z
1747033772226,882164663,-0.32389963,0.25812668,-0.17717838
1747033772243,882181330,-0.36276323,0.43072724,-0.24432468
1747033772259,882197997,-0.2918645,0.62743056,-0.26600075
1747033772276,882214664,-0.15185691,0.7437337,-0.22869682
1747033772293,882231331,0.109760895,0.6315572,-0.22069359
1747033772309,882247998,0.3940691,0.47683364,-0.22308922
1747033772326,882264665,0.5050931,0.43231645,-0.2058897
1747033772343,882281332,0.5295489,0.39337525,-0.14312649
1747033772359,882297999,0.5636761,0.32304642,-0.25317574
1747033772376,882314666,0.66474545,0.27492955,-0.51763916
1747033772393,882331333,0.6616831,0.15631421,-0.90608215
1747033772409,882348000,0.589794,-0.04629652,-0.9475241
1747033772426,882364667,0.65012175,-0.09631383,-0.6798439
1747033772443,882381334,0.69820553,-0.13647631,-0.5529938
1747033772459,882398001,0.5892545,-0.30473372,-0.50725555
1747033772476,882414668,0.42159152,-0.48683295,-0.46606636
1747033772493,882431335,0.21841718,-0.60770446,-0.2793064
1747033772509,882448002,0.09993471,-0.5874047,-0.045476913
1747033772526,882464669,-0.005740078,-0.38982666,-0.14635086
1747033772543,882481336,0.015817676,-0.19074304,-0.3474455
1747033772559,882498003,0.111396514,-0.07530269,-0.33153915
1747033772576,882514670,0.23334137,-0.034142386,-0.3020382
1747033772593,882531337,0.3964565,-0.22091925,-0.21731853
1747033772609,882548004,0.50930834,-0.3598639,-0.10022068
1747033772626,882564671,0.75499445,-0.38723475,0.042046547
1747033772643,882581338,1.0003113,-0.21688317,-0.047174454
1747033772659,882598005,1.1797733,-0.112516366,-0.23645115
1747033772676,882614672,1.3229433,0.003959923,-0.18195534
1747033772693,882631339,1.1557771,-0.13460766,-0.32115078
1747033772709,882648006,0.7590878,-0.35280144,-0.5309372
1747033772726,882664673,0.25714663,-0.79334855,-0.30620575
1747033772743,882681340,-0.30627885,-1.0635891,0.36721325
1747033772759,882698007,-0.64227176,-1.0054194,0.8477793
1747033772776,882714674,-0.54357386,-0.760019,1.0074301
1747033772793,882731341,-0.27729407,-0.4264791,1.0186682
1747033772809,882748008,-0.25413325,-0.22845761,1.287077
1747033772826,882764675,-0.051690876,-0.0737329,1.8715477
1747033772843,882781342,0.14751503,0.254131,2.270567
1747033772859,882798009,0.2279022,0.43669325,2.3336182
1747033772876,882814676,0.33948255,0.364206,2.0269165
1747033772893,882831343,0.60042024,-0.026470974,2.0077953
1747033772909,882848010,1.0841867,-0.47452393,2.7455492
1747033772926,882864677,1.5394456,-0.41387415,3.5563354
1747033772943,882881344,1.7803751,-0.25340647,3.9920883
1747033772959,882898011,2.0288906,-0.27802843,4.225458
1747033772976,882914678,1.9789743,-0.30998912,3.8995104
1747033772993,882931345,1.5148219,-0.35093254,3.1956644
1747033773009,882948012,1.0999972,-0.42631996,2.3112278
1747033773026,882964679,0.65332544,-0.28890157,1.7037592
1747033773043,882981346,0.07095579,-0.12689881,1.5093775
1747033773059,882998013,-0.54735017,-0.069063716,1.6399479
1747033773076,883014680,-0.9266562,0.052661106,1.8369179
1747033773093,883031347,-1.0271934,0.105956204,2.0162067
1747033773109,883048014,-1.0803678,0.061545745,2.0393648
1747033773126,883064681,-0.8993021,-0.01004769,1.6023169
1747033773143,883081348,-0.49975592,-0.09618198,0.84320736
1747033773159,883098015,-0.014258506,-0.45548874,-0.06297016
1747033773176,883114682,0.017566834,-0.57847434,-0.8697195
1747033773193,883131349,-0.40201178,-0.3926251,-1.2924595
1747033773209,883148016,-0.92462707,-0.41704172,-1.5118027
1747033773226,883164683,-0.73329496,-0.8125056,-1.3719425
1747033773243,883181350,1.0671959,-0.20986034,-1.1771746
1747033773259,883198017,0.6563791,-1.4900696,-0.025314331
1747033773276,883214684,1.0880065,-1.3639739,-2.2479882
1747033773293,883231351,1.1525996,0.20644914,-1.2427788
1747033773309,883248018,0.94560015,-0.019874996,-1.3497839
1747033773326,883264685,0.17043945,0.16882056,-1.4774628
1747033773343,883281352,-0.48819047,0.7168197,-1.9617138
1747033773359,883298019,-0.7484877,1.037744,-2.4484859
1747033773376,883314686,-0.8074827,0.77873147,-2.770618
1747033773393,883331353,-0.7376014,0.63117665,-3.222075
1747033773409,883348020,-1.0130689,0.44787428,-3.7757268
1747033773426,883364687,-1.1236022,0.7180372,-4.137267
1747033773443,883381354,-1.285792,1.1580931,-4.2145452
1747033773459,883398021,-1.8325834,1.2595423,-3.4656677
1747033773476,883414688,-2.1071696,1.2403342,-3.4188976
1747033773493,883431355,-1.5687704,0.645043,-2.3147016
1747033773509,883448022,-0.4486075,-0.37958103,-1.4926538
1747033773526,883464689,-0.2630786,-0.25368,-0.10355854
1747033773543,883481356,-0.3931981,0.2963341,0.63161945
1747033773559,883498023,-0.9391716,0.70466125,1.010376
1747033773576,883514690,-0.8527784,0.62954384,1.0517883
1747033773593,883531357,-0.30205458,1.0743362,1.3692112
1747033773609,883548024,-0.07849349,1.5242788,1.3971395
1747033773626,883564691,-0.4293333,1.8992379,1.2478609
1747033773643,883581358,-1.3582742,2.0096564,0.61169624
1747033773659,883598025,-1.6933689,1.5375028,0.017160416
1747033773676,883614692,-1.5701596,1.0726751,-0.1085825
1747033773693,883631359,-1.5979836,-0.14242513,-0.32683945
1747033773709,883648026,-1.7584368,-0.35549673,-0.67343616
1747033773726,883664693,-1.8158067,-0.35546517,-1.4926891
1747033773743,883681360,-2.2730742,0.024291277,-2.1925607
1747033773759,883698027,-2.2688823,0.23892456,-2.433813
1747033773776,883714694,-1.8562982,0.190754,-2.0265632
1747033773793,883731361,-1.4963309,0.05183377,-0.9705334
1747033773809,883748028,-1.4770519,0.5329757,-0.13894176
1747033773826,883764695,-1.5243284,0.69243664,-0.01223278
1747033773843,883781362,-1.3216356,0.41286105,0.0058221817
1747033773859,883798029,-1.2133452,0.5684033,-0.010430336
1747033773876,883814696,-1.2627914,0.7678043,-0.08392906
