timestamp_ms,timestamp_μs,freeAcceleration_m/s²_x,freeAcceleration_m/s²_y,freeAcceleration_m/s²_z
1747033013617,123566622,0.092350274,0.3112706,-0.020087242
1747033013634,123583289,0.30891144,0.2408138,-0.048131943
1747033013650,123599956,0.47820613,0.17610379,0.5214577
1747033013667,123616623,0.23082379,0.10721626,0.9449091
1747033013684,123633290,-0.022895802,-0.29247653,1.1177807
1747033013700,123649957,-0.027988404,-0.8768742,0.9673147
1747033013717,123666624,0.070978664,-1.1878324,0.57309055
1747033013734,123683291,0.24153687,-1.2393956,0.1463728
1747033013750,123699958,0.4755476,-1.2454597,-0.120256424
1747033013767,123716625,0.47678164,-1.1922894,-0.25547314
1747033013784,123733292,0.24667728,-1.0949252,-0.47382927
1747033013800,123749959,-0.010935148,-0.8501673,-0.82027626
1747033013817,123766626,-0.26761296,-0.62043905,-0.98668003
1747033013834,123783293,-0.36808506,-0.37850657,-0.87688446
1747033013850,123799960,-0.31798533,-0.057666343,-0.5957184
1747033013867,123816627,-0.2822982,0.3787542,-0.18854141
1747033013884,123833294,-0.34876856,0.6380995,0.33436394
1747033013900,123849961,-0.57511324,0.8494596,0.4712639
1747033013917,123866628,-0.80274665,0.8093511,0.25760174
1747033013934,123883295,-0.8967485,0.6716767,0.018210411
1747033013950,123899962,-0.6442678,0.4343078,-0.1325264
1747033013967,123916629,-0.10207141,0.15963915,0.025606155
1747033013984,123933296,0.14057136,0.016194295,0.47433758
1747033014000,123949963,0.032954164,-0.0797559,0.58660126
1747033014017,123966630,-0.16259322,-0.018159086,0.50554466
1747033014034,123983297,-0.061736736,0.06263738,0.321393
1747033014050,123999964,0.12147197,0.1888105,0.08989525
1747033014067,124016631,0.5287966,0.21063067,-0.089071274
1747033014084,124033298,0.9089911,0.04590688,-0.09938431
1747033014100,124049965,0.9901819,-0.2186814,-0.21610928
1747033014117,124066632,0.93900126,-0.3829211,-0.4335518
1747033014134,124083299,0.9100066,-0.39763424,-0.49036598
1747033014150,124099966,0.89775026,-0.29814205,-0.40914154
1747033014167,124116633,0.63802505,0.017151937,-0.42655945
1747033014184,124133300,0.4163488,0.38430405,-0.55727863
1747033014200,124149967,0.053148586,0.57079834,-0.44164562
1747033014217,124166634,-0.43962294,0.6654403,-0.23141193
1747033014234,124183301,-0.6647748,0.71129215,0.13454247
1747033014250,124199968,-0.47553208,0.7736555,0.58697796
1747033014267,124216635,0.06167006,0.8231233,0.9069958
1747033014284,124233302,0.3948124,0.8560162,1.8161755
