timestamp_ms,timestamp_μs,freeAcceleration_m/s²_x,freeAcceleration_m/s²_y,freeAcceleration_m/s²_z
1747033207896,317843647,0.37492678,0.16388528,-0.48441982
1747033207913,317860314,0.4154186,0.17909138,-0.39828014
1747033207929,317876981,0.2613346,0.035002295,-0.3247385
1747033207946,317893648,0.057916343,-0.07514271,-0.23797226
1747033207963,317910315,-0.074232675,-0.072541855,-0.2951355
1747033207979,317926982,-0.2168302,-0.14791986,-0.4336033
1747033207996,317943649,-0.28037348,-0.163546,-0.47981167
1747033208013,317960316,-0.23274627,-0.06261073,-0.43318844
1747033208029,317976983,-0.19644877,-0.014044437,-0.39326382
1747033208046,317993650,-0.13269009,-0.012804052,-0.39812946
1747033208063,318010317,-0.033318963,0.061385877,-0.40669823
1747033208079,318026984,-0.07298916,0.005059551,-0.44899178
1747033208096,318043651,-0.078462884,-0.016879195,-0.40441513
1747033208113,318060318,-0.099751316,-0.012516279,-0.3611288
1747033208129,318076985,-0.10817038,-0.080772,-0.34554672
1747033208146,318093652,-0.097319834,-0.05842612,-0.3686905
1747033208163,318110319,-0.1268346,-0.02640448,-0.4219122
1747033208179,318126986,-0.09187036,-0.035004754,-0.41821194
1747033208196,318143653,-0.08081759,0.02848086,-0.37897682
1747033208213,318160320,-0.13013276,-0.054473292,-0.39593697
1747033208229,318176987,-0.08646906,-0.06903555,-0.40051842
1747033208246,318193654,-0.103240244,-0.012554388,-0.32488823
1747033208263,318210321,-0.22423781,-0.083190575,-0.2981243
1747033208279,318226988,-0.17252272,-0.1265195,-0.4106388
1747033208296,318243655,-0.0893982,-0.0731502,-0.47034836
1747033208313,318260322,0.03530633,0.018539561,-0.48542118
1747033208329,318276989,0.077875264,0.05250705,-0.4413805
1747033208346,318293656,0.02934915,-0.06037761,-0.30196857
1747033208363,318310323,0.03841657,0.06095282,-0.28225803
1747033208379,318326990,-0.21217616,-0.17654115,-0.2851696
1747033208396,318343657,-0.31710777,-0.2196492,-0.27693272
1747033208413,318360324,-0.30551612,-0.23782097,-0.3656845
1747033208429,318376991,-0.29624632,-0.23966484,-0.33286762
1747033208446,318393658,-0.80638236,-0.63194263,-0.14983845
1747033208463,318410325,-1.4790809,-0.7052588,-0.058626175
1747033208479,318426992,-2.0988941,-0.7986839,-0.12986088
1747033208496,318443659,-2.3951004,-1.1771963,-0.07062912
1747033208513,318460326,-2.3745224,-1.7632325,0.19541359
1747033208529,318476993,-2.265591,-1.5061959,-0.098425865
1747033208546,318493660,-1.0272163,-0.7830704,-0.606822
1747033208563,318510327,0.060637724,-0.0067760185,-0.78409576
1747033208579,318526994,0.35864028,0.034275096,-0.6610279
1747033208596,318543661,0.32517806,-0.16927144,-0.57688236
1747033208613,318560328,0.83773816,-0.0048188833,-0.4204092
1747033208629,318576995,1.7235068,0.395717,0.07132244
1747033208646,318593662,2.2131276,0.4229797,1.216486
1747033208663,318610329,1.9218694,0.118030265,1.6565838
1747033208679,318626996,1.6144422,-0.27491927,1.2800426
1747033208696,318643663,1.9584563,0.052047674,1.0036278
1747033208713,318660330,2.499581,-0.20529206,0.94001293
1747033208729,318676997,2.152433,-0.076857276,0.76302624
1747033208746,318693664,1.7126994,0.01673788,0.84967995
1747033208763,318710331,1.2696998,-0.30666927,0.72121143
1747033208779,318726998,1.139525,-0.39763927,0.2786951
1747033208796,318743665,1.2607195,-0.1716794,0.217165
1747033208813,318760332,1.3325793,-0.14840847,0.0041017532
1747033208829,318776999,1.062945,-0.13530071,-0.47246933
1747033208846,318793666,0.7419785,-0.11224301,-1.0403643
1747033208863,318810333,0.77265334,0.264751,-0.96534824
1747033208879,318827000,0.8742459,0.3119681,-1.2543039
1747033208896,318843667,0.9497087,0.32741794,-1.4385605
1747033208913,318860334,0.22173546,0.5296029,-1.3114605
1747033208929,318877001,-0.21979885,0.69337076,-1.0808191
1747033208946,318893668,0.27428493,0.8619738,-0.2216034
1747033208963,318910335,0.20833442,0.49497694,-0.24806976
1747033208979,318927002,-0.37865096,0.0100474665,-0.8674698
1747033208996,318943669,-0.17088695,0.20271954,-0.72482014
1747033209013,318960336,0.15542689,0.6918911,-0.40095997
1747033209029,318977003,-0.11782809,0.46136305,-0.7753267
1747033209046,318993670,0.11697182,0.77874833,-0.6394243
1747033209063,319010337,0.42978278,1.0833879,-0.5441904
1747033209079,319027004,0.3390279,0.7638965,-0.9271021
1747033209096,319043671,-0.2038019,0.6349161,-1.1647158
1747033209113,319060338,-0.46767348,0.53289014,-0.7112484
1747033209129,319077005,0.11363477,1.0819799,0.0074710846
1747033209146,319093672,0.45853013,1.164569,-0.2007246
1747033209163,319110339,0.35946783,0.7185108,-0.6465845
1747033209179,319127006,0.022573244,1.0047426,-0.30546856
1747033209196,319143673,-0.6046964,1.0497981,-0.3604498
1747033209213,319160340,-1.6214727,0.17596315,-0.94811726
1747033209229,319177007,-1.6483897,0.45678583,-0.39671612
1747033209246,319193674,-0.43870988,1.535038,0.44267368
1747033209263,319210341,-0.17105715,0.8713068,-0.38666058
1747033209279,319227008,-0.39841598,-0.009138327,-0.5682678
1747033209296,319243675,-0.08743995,0.2304422,0.1611929
1747033209313,319260342,-0.19874425,-0.17845978,-0.23072243
1747033209329,319277009,-0.07621222,-0.58569366,-0.49865913
1747033209346,319293676,0.27533478,-0.016659202,0.091077805
1747033209363,319310343,0.47838065,0.5495392,0.15736294
1747033209379,319327010,0.83861613,1.2009699,0.40544128
1747033209396,319343677,0.86298406,1.4915936,0.5685253
1747033209413,319360344,0.49959785,1.5215094,2.20018
1747033209429,319377011,0.09543411,0.04441292,1.0627794
1747033209446,319393678,-0.076743506,-0.6530244,-0.026134491
1747033209463,319410345,0.5453243,0.08242867,0.73641396
1747033209479,319427012,-0.013774098,-0.71770436,0.10899258
